Time,F-Scale,Location,County,State,Lat,Lon,Comments
1825,UNK,5 SW GREENWOOD,JOHNSON,IN,39.56,-86.18,EF0 TORNADO NEAR COUNTY ROAD 600N AND COUNTY ROAD 200W. TORNADO INITIALLY REPORTED BY STATE HOMELAND SECURITY OFFICIAL. (IND)
1945,UNK,BATTLE CREEK,CALHOUN,MI,42.32,-85.19,TORNADO ON GROUND 1 MILE WEST OF AIRPORT. (GRR)
2040,UNK,BATTLE CREEK,CALHOUN,MI,42.32,-85.19,TORNADO ON GROUND 1 MILE WEST OF AIRPORT. (GRR)
2045,UNK,BATTLE CREEK,CALHOUN,MI,42.32,-85.19,BRIEF TORNADO TOUCH DOWN GROUND NEAR HELMER AND COLOMBIA. (GRR)
2057,UNK,2 NE DANE,DANE,WI,43.27,-89.47,TORNADO REPORTED HALFWAY BETWEEN DANE AND MORRISONVILLE (MKX)
2108,UKN,1 NW DANE,DANE,WI,43.26,-89.51,NWS SURVEY INITIATED FROM DELAYED PUBLIC REPORT FOUND TREE DAMAGE AND MINOR CORN CROP DAMAGE. PATH BEGAN APPROXIMATELY 1.6 MILES NORTHWEST OF THE VILLAGE OF DANE AND EN (MKX)
2124,UNK,4 E EAST BRISTOL,DANE,WI,43.27,-89.07,STORM SURVEY CONDUCTED BY NWS EMPLOYEES. EF0 TORNADO FORMED 4 MILES EAST OF EAST BRISTOL NEAR THE COUNTY HWY V AND HWY 73 INTERSECTION AROUND 424 PM. THE TORNADO TRAVEL (MKX)
2145,UNK,5 N MADISON,DANE,WI,43.16,-89.38,DEBRIS AND HIGH WINDS ON PORTAGE ROAD. (MKX)
2210,UNK,3 SE MARSHALL,DANE,WI,43.14,-89.02,STORM SURVEY CONDUCTED BY NWS EMPLOYEES. EF0 TORNADO FORMED 3.5 MILES SE OF MARSHALL AT THE INTERSECTION OF BOXELDER RD AND VEITH RD AROUND 510 PM. THE STORM MOVED TO T (MKX)
2230,UNK,3 NW EDGERTON,DANE,WI,42.87,-89.11,BRIEF TOUCHDOWN ON THE GROUND AT HWY X AND BLIVEN RD (MKX)
2245,UNK,6 NE BEMIDJI,BELTRAMI,MN,47.54,-94.79,ON INTERSECTION OF HWY 71/CR 15 LOOKING N/NE. CONTACT WITH GROUND AND STRONG ROTATION IN THE SKY. (FGF)
2302,UNK,5 WNW ALBION,DANE,WI,42.91,-89.16,EF1 TORNADO SPUN UP 4.6 MILES WNW OF ALBION AND MOVED TO 0.5 MILE WEST OF ALBION. TREES UPROOTED...AND TREE LIMBS DOWN. CORN CROP DAMAGE. SOME BARN DAMAGE. SURVEY CONDU (MKX)
2315,UNK,6 SW FORT ATKINSON,JEFFERSON,WI,42.87,-88.93,EF0 TORNADO. TRACK FROM 6.6 SW TO 5.3 S OF FORT ATKINSON. 65-70MPH WINDS. MOSTLY TREE LIMB DAMAGE. (MKX)
2328,UNK,2 N MILTON,ROCK,WI,42.81,-88.95,BRIEF TORNADO ON GROUND AT INTERSECTION OF HWY 59 AND CLEAR LAKE. (MKX)
2328,UNK,3 SE FORT ATKINSON,JEFFERSON,WI,42.9,-88.8,DEBRIS IN AIR...SPOTTER 3 SOUTH OF FORT...LOOKING EAST. (MKX)
2328,UNK,RIDGEWAY,IOWA,WI,43,-89.99,BRIEF TORNADO NEAR HWY 18/151 AND RIDGEVIEW. (MKX)
2338,UNK,2 SE EAGLE,WAUKESHA,WI,42.86,-88.45,DEBRIS FALLING FROM SKY IN EAGLE SPRING LAKE AREA. (MKX)
2344,UNK,2 WNW WHITEWATER,JEFFERSON,WI,42.85,-88.77,RIGHT NORTH OF THE JEFFERSON...WALWORTH COUNTY LINE (MKX)
2356,UNK,1 W WIND LAKE,RACINE,WI,42.82,-88.18,TORNADO ON GROUND WEST OF WIND LAKE...NEAR LOOMIS RD (MKX)
0002,UNK,1 S BIG BEND,WAUKESHA,WI,42.87,-88.2,EF2 TORNADO. TRACK 1 S OF BIG BEND TO 1.2 SE OF BIG BEND. 1 MILE PATH LENGTH. DESTROYED GARAGE AND POLL SHED. MOVED CAMPING TRAILER 50 YARDS. 115-120MPH WIND. 602 PM TO (MKX)
0009,UNK,2 NW WIND LAKE,WAUKESHA,WI,42.84,-88.18,TORNADO REPORTED AT HWY 164 AND COUNTYLINE ROAD (MKX)
0105,UNK,4 S BRANDON,DOUGLAS,MN,45.91,-95.6,DAMAGE TO BARN AND GRAIN BIN NEAR COUNTY ROAD 7 AND COUNTY ROAD 8. (MPX)
0132,UNK,3 S WHITEWATER,WALWORTH,WI,42.79,-88.74,EF1 TORNADO. 2.8 S WHITEWATER TO 2.5 NW TIBBETS. 90MPH WINDS. 2 BARNS DAMAGED OR DESTROYED. MINOR CORN DAMAGE. EST 50 TALL PINE TREES SNAPPED. 100S OF TREES WITH SOME D (MKX)
0223,UNK,5 NNW BLOOMINGDALE,ALLEGAN,MI,42.46,-85.98,A BRIEF EF-0 TORNADO TOUCHED DOWN 5 MILES NNW OF BLOOMINGDALE. THE PATH WAS 0.16 MILES LONG AND 50 YARDS WIDE. (GRR)
