Time,F_Scale,Location,County,State,Lat,Lon,Comments
1905,UNK,4 SSE LAKOTA,NELSON,ND,47.99,-98.31,A TORNADO TRACKED INTERMITTENTLY TO THE EAST NORTHEAST FOR ABOUT 9 MILES...TO NEAR MICHIGAN ND BY 235 PM CDT. DAMAGE WAS CONFINED TO THE OCCASSIONAL SHELTER BELT OR GRO (FGF)
1930,UNK,6 W LORAINE,RENVILLE,ND,48.87,-101.7,RELAYED FROM THE BOTTINEAU SHERIFFS OFFICE... A LOCAL FARMER SAW TWO TORNADOES THAT TOUCHED DOWN. (BIS)
2038,UNK,5 WNW NEWBURG,BOTTINEAU,ND,48.73,-101.01,LAW ENFORCEMENT CONFIRMS A TORNADO ON THE GROUND. . (BIS)
2129,UNK,7 W LORENZO,CHEYENNE,NE,41.03,-103.18,TWO LANDSPOUT TORNADOES WERE ON THE GROUND 7 MILES WEST OF LORENZO NEBRASKA. EACH TORNADO LASTED FOR 10 MINUTES BEFORE DISSIPATING. (CYS)
2206,UNK,6 WSW GRAND FORKS,GRAND FORKS,ND,47.88,-97.19,GFK TOWER OFFICALS OBSERVED A BRIEF TORNADO ABOUT 3 MILES SOUTH OF THE AIRPORT TOWER. NOT MUCH OF A FUNNEL...BUT ROTATION EVIDENT IN CLOUD AND A LOT OF DUST KICKED UP. (FGF)
2206,UNK,4 WSW GRAND FORKS,GRAND FORKS,ND,47.89,-97.15,GFK TOWER OFFICALS OBSERVED A POSSIBLE TOUCH DOWN 3 MILES SOUTH OF THE AIRPORT TOWER. NOT MUCH OF A FUNNEL... BUT ROTATION IN CLOUD AND A LOT OF DUST KICKED UP. (FGF)
2215,UNK,7 SSW GRAND FORKS,GRAND FORKS,ND,47.82,-97.13,A TOUCHDOWN WAS OBSERVED AND PHOTOGRAPHED BY A SPOTTER LOCATED NEAR INTERSTATE 29 AT MP134... OR 4 NNE OF THOMPSON. TORNADO BEGAN ABOUT 1 SSW OF MERRIFIELD AND TRACKED (FGF)
2215,UNK,6 SSW GRAND FORKS,GRAND FORKS,ND,47.84,-97.12,BRIEF TOUCHDOWN NOTED IN FIELDS BETWEEN THOMPSON AND GRAND FORKS. DUST PLUME EVIDENT. PHOTO AND REPORT VIA SOCIAL MEDIA. (FGF)
2335,UNK,3 E BELTRAMI,POLK,MN,47.54,-96.46,REPORTS OF A BRIEF TOUCHDOWN. DAMAGE TO LARGE EVERGREEN TREES AND A TRAMPOLINE (FGF)
0153,UNK,7 NNW THRALL,CHASE,KS,38.11,-96.37,BRIEF TOUCHDOWN OF 15 SECONDS WAS REPORTED. (ICT)
0215,UNK,13 NW EUREKA,GREENWOOD,KS,37.96,-96.46,DELAYED REPORT FROM A TRAINED SPOTTER OF A BRIEF TOUCHDOWN. LOCATION IS BASED ON RADAR ROTATION. (ICT)
0248,UNK,EUREKA,GREENWOOD,KS,37.82,-96.29,REPORT OF DAMAGE IN NORTHERN EUREKA OF ROOFS OFF OF HOMES AND OTHER DEBRIS. TIME IS BASED ON OTHER REPORTS. (ICT)
0248,UNK,1 N EUREKA,GREENWOOD,KS,37.84,-96.29,TRANSFORMERS ARCHING AND POWER FLASHES ON THE NORTH SIDE OF TOWN. (ICT)
0249,UNK,EUREKA,GREENWOOD,KS,37.82,-96.29,DAMAGE TO HOUSES ON THE NORTH SIDE OF TOWN... INCLUDING A MOBILE HOME FLIPPED AND DESTROYED. A LARGE BARN HAS BEEN PUSHED ON ITS SIDE. A LEAST ONE HOME HAD ITS ROOF REM (ICT)
0341,UNK,2 W COYVILLE,WILSON,KS,37.69,-95.93,RURAL FIRE DEPARTMENT REPORTED A BRIEF TORNADO. (ICT)
